"asset_id","risk_level","probability"
"AST025127","HIGH","0.5815"
"AST006619","HIGH","0.5815"
"AST032542","HIGH","0.5815"
"AST013013","HIGH","0.5815"
"AST032598","HIGH","0.5814"
"AST024955","HIGH","0.5814"
"AST035686","HIGH","0.5814"
"AST033163","HIGH","0.5814"
"AST016698","HIGH","0.5814"
"AST026416","HIGH","0.5814"
"AST041464","HIGH","0.5813"
"AST037325","HIGH","0.5813"
"AST020368","HIGH","0.5813"
"AST041369","HIGH","0.5813"
"AST037271","HIGH","0.5813"
"AST016156","HIGH","0.5812"
"AST040357","HIGH","0.5812"
"AST027812","HIGH","0.5812"
"AST023626","HIGH","0.5812"
"AST009073","HIGH","0.5811"
"AST031754","HIGH","0.5811"
"AST010450","HIGH","0.5811"
"AST025174","HIGH","0.581"
"AST037332","HIGH","0.581"
"AST033852","HIGH","0.581"
"AST038727","HIGH","0.581"
"AST034507","HIGH","0.581"
"AST032243","HIGH","0.581"
"AST022482","HIGH","0.5809"
"AST015788","HIGH","0.5809"
"AST013666","HIGH","0.5809"
"AST036185","HIGH","0.5809"
"AST028694","HIGH","0.5809"
"AST014174","HIGH","0.5809"
"AST033920","HIGH","0.5808"
"AST010674","HIGH","0.5808"
"AST038263","HIGH","0.5808"
"AST030593","HIGH","0.5808"
"AST037015","HIGH","0.5808"
"AST010282","HIGH","0.5808"
"AST040448","HIGH","0.5807"
"AST019854","HIGH","0.5807"
"AST037282","HIGH","0.5807"
"AST030868","HIGH","0.5807"
"AST024136","HIGH","0.5807"
"AST021130","HIGH","0.5807"
"AST017606","HIGH","0.5806"
"AST036740","HIGH","0.5806"
"AST031077","HIGH","0.5806"
"AST033165","HIGH","0.5806"
"AST024254","HIGH","0.5806"
"AST006974","HIGH","0.5806"
"AST040420","HIGH","0.5806"
"AST024384","HIGH","0.5806"
"AST028787","HIGH","0.5806"
"AST030444","HIGH","0.5806"
"AST034308","HIGH","0.5806"
"AST027879","HIGH","0.5805"
"AST037195","HIGH","0.5805"
"AST028739","HIGH","0.5805"
"AST012730","HIGH","0.5805"
"AST039407","HIGH","0.5805"
"AST000680","HIGH","0.5805"
"AST036179","HIGH","0.5805"
"AST031897","HIGH","0.5805"
"AST001598","HIGH","0.5805"
"AST039640","HIGH","0.5804"
"AST034551","HIGH","0.5804"
"AST036843","HIGH","0.5804"
"AST030876","HIGH","0.5804"
"AST014324","HIGH","0.5804"
"AST032696","HIGH","0.5804"
"AST032543","HIGH","0.5804"
"AST012400","HIGH","0.5803"
"AST006689","HIGH","0.5803"
"AST015364","HIGH","0.5803"
"AST035553","HIGH","0.5803"
"AST017857","HIGH","0.5802"
"AST035597","HIGH","0.5802"
"AST030389","HIGH","0.5802"
"AST015615","HIGH","0.5802"
"AST024071","HIGH","0.5802"
"AST020547","HIGH","0.5801"
"AST029391","HIGH","0.5801"
"AST031760","HIGH","0.5801"
"AST008969","HIGH","0.5801"
"AST030325","HIGH","0.58"
"AST036804","HIGH","0.58"
"AST029831","HIGH","0.58"
"AST020572","HIGH","0.5799"
"AST002195","HIGH","0.5799"
"AST025743","HIGH","0.5799"
"AST032720","HIGH","0.5799"
"AST016827","HIGH","0.5799"
"AST029822","HIGH","0.5799"
"AST040431","HIGH","0.5799"
"AST004478","HIGH","0.5799"
"AST028620","HIGH","0.5799"
"AST022325","HIGH","0.5799"
"AST011748","HIGH","0.5798"
"AST015787","HIGH","0.5798"
"AST027509","HIGH","0.5798"
"AST023275","HIGH","0.5798"
"AST023868","HIGH","0.5798"
"AST022864","HIGH","0.5798"
"AST034934","HIGH","0.5798"
"AST033337","HIGH","0.5798"
"AST039784","HIGH","0.5797"
"AST034320","HIGH","0.5797"
"AST006906","HIGH","0.5797"
"AST034893","HIGH","0.5797"
"AST018819","HIGH","0.5797"
"AST030350","HIGH","0.5797"
"AST002246","HIGH","0.5796"
"AST004710","HIGH","0.5796"
"AST039220","HIGH","0.5796"
"AST024021","HIGH","0.5796"
"AST032724","HIGH","0.5796"
"AST035109","HIGH","0.5795"
"AST034830","HIGH","0.5795"
"AST021207","HIGH","0.5795"
"AST035020","HIGH","0.5795"
"AST011743","HIGH","0.5795"
"AST021186","HIGH","0.5795"
"AST025660","HIGH","0.5795"
"AST008939","HIGH","0.5794"
"AST033338","HIGH","0.5794"
"AST033869","HIGH","0.5794"
"AST029186","HIGH","0.5794"
"AST019325","HIGH","0.5794"
"AST015112","HIGH","0.5794"
"AST026899","HIGH","0.5794"
"AST019570","HIGH","0.5794"
"AST040295","HIGH","0.5794"
"AST007449","HIGH","0.5794"
"AST029603","HIGH","0.5794"
"AST018704","HIGH","0.5793"
"AST032834","HIGH","0.5793"
"AST026760","HIGH","0.5793"
"AST031274","HIGH","0.5793"
"AST017958","HIGH","0.5793"
"AST023750","HIGH","0.5793"
"AST007372","HIGH","0.5793"
"AST039886","HIGH","0.5793"
"AST009047","HIGH","0.5793"
"AST026388","HIGH","0.5792"
"AST032592","HIGH","0.5792"
"AST007726","HIGH","0.5792"
"AST008461","HIGH","0.5792"
"AST031055","HIGH","0.5792"
"AST016749","HIGH","0.5792"
"AST000687","HIGH","0.5791"
"AST021769","HIGH","0.5791"
"AST005749","HIGH","0.5791"
"AST034468","HIGH","0.5791"
"AST020480","HIGH","0.5791"
"AST024852","HIGH","0.5791"
"AST020271","HIGH","0.5791"
"AST003261","HIGH","0.5791"
"AST009571","HIGH","0.5791"
"AST010204","HIGH","0.5791"
"AST000229","HIGH","0.579"
"AST033609","HIGH","0.579"
"AST029976","HIGH","0.579"
"AST034649","HIGH","0.579"
"AST037045","HIGH","0.579"
"AST005038","HIGH","0.579"
"AST017671","HIGH","0.579"
"AST019586","HIGH","0.579"
"AST011327","HIGH","0.579"
"AST026360","HIGH","0.5789"
"AST030795","HIGH","0.5789"
"AST015516","HIGH","0.5789"
"AST005225","HIGH","0.5789"
"AST005944","HIGH","0.5789"
"AST036720","HIGH","0.5789"
"AST000200","HIGH","0.5789"
"AST033181","HIGH","0.5788"
"AST041535","HIGH","0.5788"
"AST023499","HIGH","0.5788"
"AST019884","HIGH","0.5788"
"AST017153","HIGH","0.5788"
"AST027448","HIGH","0.5788"
"AST011247","HIGH","0.5788"
"AST022817","HIGH","0.5788"
"AST015508","HIGH","0.5787"
"AST035766","HIGH","0.5787"
"AST041173","HIGH","0.5787"
"AST002581","HIGH","0.5786"
"AST027804","HIGH","0.5786"
"AST003853","HIGH","0.5786"
"AST014588","HIGH","0.5786"
"AST036247","HIGH","0.5786"
"AST019315","HIGH","0.5786"
"AST005574","HIGH","0.5786"
"AST007084","HIGH","0.5785"
"AST037730","HIGH","0.5785"
"AST019710","HIGH","0.5785"
"AST013619","HIGH","0.5785"
"AST023187","HIGH","0.5785"
"AST024297","HIGH","0.5785"
"AST038484","HIGH","0.5785"
"AST017217","HIGH","0.5785"
"AST014321","HIGH","0.5785"
"AST039404","HIGH","0.5785"
"AST015846","HIGH","0.5784"
"AST036903","HIGH","0.5784"
"AST032932","HIGH","0.5784"
"AST022036","HIGH","0.5784"
"AST038311","HIGH","0.5784"
"AST012210","HIGH","0.5784"
"AST025848","HIGH","0.5784"
"AST037535","HIGH","0.5784"
"AST010506","HIGH","0.5784"
"AST001146","HIGH","0.5784"
"AST012032","HIGH","0.5783"
"AST037369","HIGH","0.5783"
"AST040727","HIGH","0.5783"
"AST033642","HIGH","0.5783"
"AST039768","HIGH","0.5783"
"AST031157","HIGH","0.5783"
"AST041500","HIGH","0.5782"
"AST025748","HIGH","0.5782"
"AST004014","HIGH","0.5782"
"AST022394","HIGH","0.5782"
"AST030477","HIGH","0.5782"
"AST021857","HIGH","0.5782"
"AST010508","HIGH","0.5782"
"AST041257","HIGH","0.5782"
"AST021216","HIGH","0.5782"
"AST009267","HIGH","0.5782"
"AST027079","HIGH","0.5781"
"AST003466","HIGH","0.5781"
"AST022438","HIGH","0.5781"
"AST035845","HIGH","0.5781"
"AST040508","HIGH","0.5781"
"AST031585","HIGH","0.5781"
"AST038890","HIGH","0.5781"
"AST036519","HIGH","0.5781"
"AST023394","HIGH","0.578"
"AST032766","HIGH","0.578"
"AST019204","HIGH","0.578"
"AST028898","HIGH","0.578"
"AST037526","HIGH","0.578"
"AST015722","HIGH","0.5779"
"AST041058","HIGH","0.5779"
"AST018019","HIGH","0.5779"
"AST028524","HIGH","0.5779"
"AST040421","HIGH","0.5779"
"AST033692","HIGH","0.5779"
"AST036452","HIGH","0.5779"
"AST008408","HIGH","0.5779"
"AST012948","HIGH","0.5779"
"AST027180","HIGH","0.5779"
"AST026426","HIGH","0.5779"
"AST029541","HIGH","0.5778"
"AST037451","HIGH","0.5778"
"AST003713","HIGH","0.5778"
"AST005074","HIGH","0.5778"
"AST003727","HIGH","0.5778"
"AST014359","HIGH","0.5778"
"AST035638","HIGH","0.5778"
"AST034280","HIGH","0.5778"
"AST037093","HIGH","0.5778"
"AST028971","HIGH","0.5778"
"AST031532","HIGH","0.5778"
"AST033686","HIGH","0.5777"
"AST038544","HIGH","0.5777"
"AST038721","HIGH","0.5777"
"AST026751","HIGH","0.5777"
"AST005993","HIGH","0.5777"
"AST025526","HIGH","0.5777"
"AST015333","HIGH","0.5777"
"AST009657","HIGH","0.5777"
"AST040821","HIGH","0.5776"
"AST001517","HIGH","0.5776"
"AST032005","HIGH","0.5776"
"AST000950","HIGH","0.5776"
"AST007508","HIGH","0.5776"
"AST032829","HIGH","0.5776"
"AST030512","HIGH","0.5776"
"AST041157","HIGH","0.5776"
"AST001991","HIGH","0.5775"
"AST032768","HIGH","0.5775"
"AST019511","HIGH","0.5775"
"AST018113","HIGH","0.5775"
"AST016417","HIGH","0.5775"
"AST033047","HIGH","0.5775"
"AST017672","HIGH","0.5775"
"AST029259","HIGH","0.5775"
"AST010437","HIGH","0.5775"
"AST011433","HIGH","0.5774"
"AST006863","HIGH","0.5774"
"AST030828","HIGH","0.5774"
"AST038757","HIGH","0.5774"
"AST024722","HIGH","0.5774"
"AST035379","HIGH","0.5774"
"AST039927","HIGH","0.5774"
"AST016117","HIGH","0.5774"
"AST020339","HIGH","0.5774"
"AST018066","HIGH","0.5773"
"AST026730","HIGH","0.5773"
"AST021444","HIGH","0.5773"
"AST016500","HIGH","0.5773"
"AST037295","HIGH","0.5773"
"AST023249","HIGH","0.5773"
"AST027102","HIGH","0.5773"
"AST020732","HIGH","0.5773"
"AST023904","HIGH","0.5773"
"AST030950","HIGH","0.5773"
"AST007124","HIGH","0.5772"
"AST016565","HIGH","0.5772"
"AST037777","HIGH","0.5772"
"AST017402","HIGH","0.5772"
"AST038109","HIGH","0.5772"
"AST030640","HIGH","0.5772"
"AST028856","HIGH","0.5772"
"AST016096","HIGH","0.5772"
"AST018254","HIGH","0.5772"
"AST017084","HIGH","0.5772"
"AST029662","HIGH","0.5772"
"AST024001","HIGH","0.5771"
"AST030783","HIGH","0.5771"
"AST014752","HIGH","0.5771"
"AST033096","HIGH","0.5771"
"AST031033","HIGH","0.5771"
"AST010088","HIGH","0.5771"
"AST032104","HIGH","0.577"
"AST000751","HIGH","0.577"
"AST041492","HIGH","0.577"
"AST039545","HIGH","0.577"
"AST036518","HIGH","0.577"
"AST039304","HIGH","0.577"
"AST032287","HIGH","0.577"
"AST033906","HIGH","0.577"
"AST028650","HIGH","0.577"
"AST021483","HIGH","0.5769"
"AST019434","HIGH","0.5769"
"AST021909","HIGH","0.5769"
"AST037396","HIGH","0.5769"
"AST010869","HIGH","0.5769"
"AST017729","HIGH","0.5769"
"AST039239","HIGH","0.5769"
"AST020956","HIGH","0.5769"
"AST013560","HIGH","0.5768"
"AST027315","HIGH","0.5768"
"AST021045","HIGH","0.5768"
"AST009597","HIGH","0.5768"
"AST035083","HIGH","0.5768"
"AST008769","HIGH","0.5768"
"AST025719","HIGH","0.5768"
"AST012921","HIGH","0.5768"
"AST040836","HIGH","0.5768"
"AST001645","HIGH","0.5767"
"AST009244","HIGH","0.5767"
"AST041318","HIGH","0.5767"
"AST034641","HIGH","0.5767"
"AST023963","HIGH","0.5767"
"AST031864","HIGH","0.5767"
"AST022453","HIGH","0.5767"
"AST019950","HIGH","0.5767"
"AST041532","HIGH","0.5767"
"AST024208","HIGH","0.5767"
"AST041131","HIGH","0.5767"
"AST036657","HIGH","0.5767"
"AST036405","HIGH","0.5767"
"AST031438","HIGH","0.5767"
"AST006487","HIGH","0.5767"
"AST011806","HIGH","0.5767"
"AST040323","HIGH","0.5767"
"AST041515","HIGH","0.5766"
"AST005316","HIGH","0.5766"
"AST026709","HIGH","0.5766"
"AST004815","HIGH","0.5766"
"AST015772","HIGH","0.5766"
"AST036551","HIGH","0.5766"
"AST026192","HIGH","0.5766"
"AST019636","HIGH","0.5766"
"AST004726","HIGH","0.5766"
"AST033496","HIGH","0.5766"
"AST012596","HIGH","0.5766"
"AST006242","HIGH","0.5766"
"AST008272","HIGH","0.5765"
"AST040045","HIGH","0.5765"
"AST004277","HIGH","0.5765"
"AST030883","HIGH","0.5765"
"AST024655","HIGH","0.5765"
"AST018306","HIGH","0.5765"
"AST035060","HIGH","0.5765"
"AST028278","HIGH","0.5765"
"AST020969","HIGH","0.5765"
"AST039837","HIGH","0.5765"
"AST037933","HIGH","0.5765"
"AST003356","HIGH","0.5765"
"AST025529","HIGH","0.5765"
"AST016392","HIGH","0.5765"
"AST002221","HIGH","0.5765"
"AST001844","HIGH","0.5765"
"AST018149","HIGH","0.5765"
"AST032631","HIGH","0.5764"
"AST034499","HIGH","0.5764"
"AST018929","HIGH","0.5764"
"AST027700","HIGH","0.5764"
"AST015685","HIGH","0.5764"
"AST019585","HIGH","0.5764"
"AST008647","HIGH","0.5764"
"AST021206","HIGH","0.5764"
"AST008008","HIGH","0.5764"
"AST024917","HIGH","0.5764"
"AST028060","HIGH","0.5764"
"AST041543","HIGH","0.5764"
"AST001258","HIGH","0.5763"
"AST040872","HIGH","0.5763"
"AST006186","HIGH","0.5763"
"AST037037","HIGH","0.5763"
"AST028800","HIGH","0.5763"
"AST020401","HIGH","0.5763"
"AST034955","HIGH","0.5763"
"AST026062","HIGH","0.5763"
"AST029730","HIGH","0.5763"
"AST034571","HIGH","0.5762"
"AST019881","HIGH","0.5762"
"AST029511","HIGH","0.5762"
"AST004943","HIGH","0.5762"
"AST027484","HIGH","0.5762"
"AST027040","HIGH","0.5762"
"AST038878","HIGH","0.5762"
"AST016634","HIGH","0.5762"
"AST008696","HIGH","0.5762"
"AST040987","HIGH","0.5762"
"AST019868","HIGH","0.5762"
"AST036917","HIGH","0.5762"
"AST039671","HIGH","0.5762"
"AST033545","HIGH","0.5762"
"AST029751","HIGH","0.5761"
"AST001688","HIGH","0.5761"
"AST023025","HIGH","0.5761"
"AST001022","HIGH","0.5761"
"AST018393","HIGH","0.5761"
"AST024796","HIGH","0.5761"
"AST029030","HIGH","0.5761"
"AST028801","HIGH","0.5761"
"AST021202","HIGH","0.5761"
"AST039913","HIGH","0.576"
"AST005483","HIGH","0.576"
"AST032444","HIGH","0.576"
"AST009367","HIGH","0.576"
"AST039187","HIGH","0.576"
"AST033154","HIGH","0.576"
"AST027932","HIGH","0.576"
"AST017654","HIGH","0.576"
"AST013794","HIGH","0.576"
"AST039905","HIGH","0.576"
"AST015507","HIGH","0.576"
"AST027867","HIGH","0.576"
"AST038253","HIGH","0.576"
"AST009192","HIGH","0.576"
"AST015880","HIGH","0.576"
"AST026032","HIGH","0.5759"
"AST008787","HIGH","0.5759"
"AST038830","HIGH","0.5759"
"AST026415","HIGH","0.5759"
"AST039100","HIGH","0.5759"
"AST021333","HIGH","0.5759"
"AST019655","HIGH","0.5759"
"AST021710","HIGH","0.5759"
"AST036542","HIGH","0.5759"
"AST010644","HIGH","0.5759"
"AST034411","HIGH","0.5759"
"AST033667","HIGH","0.5759"
"AST032688","HIGH","0.5759"
"AST028963","HIGH","0.5759"
"AST014671","HIGH","0.5759"
"AST004751","HIGH","0.5759"
"AST030709","HIGH","0.5759"
"AST024921","HIGH","0.5759"
"AST005130","HIGH","0.5759"
"AST015609","HIGH","0.5758"
"AST021138","HIGH","0.5758"
"AST035742","HIGH","0.5758"
"AST023184","HIGH","0.5758"
"AST032667","HIGH","0.5758"
"AST032460","HIGH","0.5758"
"AST027456","HIGH","0.5758"
"AST031831","HIGH","0.5758"
"AST000338","HIGH","0.5757"
"AST021427","HIGH","0.5757"
"AST025885","HIGH","0.5757"
"AST011187","HIGH","0.5757"
"AST030237","HIGH","0.5757"
"AST035488","HIGH","0.5757"
"AST012754","HIGH","0.5757"
"AST021934","HIGH","0.5757"
"AST015102","HIGH","0.5757"
"AST007195","HIGH","0.5757"
"AST035817","HIGH","0.5757"
"AST027051","HIGH","0.5757"
"AST035194","HIGH","0.5757"
"AST035354","HIGH","0.5757"
"AST037601","HIGH","0.5757"
"AST019729","HIGH","0.5756"
"AST026710","HIGH","0.5756"
"AST027545","HIGH","0.5756"
"AST017041","HIGH","0.5756"
"AST005107","HIGH","0.5756"
"AST016222","HIGH","0.5756"
"AST014815","HIGH","0.5756"
"AST010420","HIGH","0.5756"
"AST025224","HIGH","0.5756"
"AST034559","HIGH","0.5756"
"AST033038","HIGH","0.5756"
"AST006170","HIGH","0.5756"
"AST028444","HIGH","0.5756"
"AST037367","HIGH","0.5756"
"AST037865","HIGH","0.5756"
"AST006429","HIGH","0.5756"
"AST017539","HIGH","0.5755"
"AST013449","HIGH","0.5755"
"AST005620","HIGH","0.5755"
"AST035387","HIGH","0.5755"
"AST009903","HIGH","0.5755"
"AST022417","HIGH","0.5755"
"AST019331","HIGH","0.5755"
"AST026684","HIGH","0.5755"
"AST008766","HIGH","0.5755"
"AST001720","HIGH","0.5755"
"AST039303","HIGH","0.5755"
"AST000794","HIGH","0.5755"
"AST011771","HIGH","0.5755"
"AST009664","HIGH","0.5755"
"AST030049","HIGH","0.5755"
"AST038289","HIGH","0.5755"
"AST040296","HIGH","0.5755"
"AST018756","HIGH","0.5755"
"AST022179","HIGH","0.5754"
"AST031308","HIGH","0.5754"
"AST007025","HIGH","0.5754"
"AST030710","HIGH","0.5754"
"AST001774","HIGH","0.5754"
"AST027726","HIGH","0.5754"
"AST037934","HIGH","0.5754"
"AST021127","HIGH","0.5754"
"AST009039","HIGH","0.5754"
"AST008639","HIGH","0.5754"
"AST025522","HIGH","0.5754"
"AST030922","HIGH","0.5754"
"AST039293","HIGH","0.5754"
"AST029095","HIGH","0.5754"
"AST022570","HIGH","0.5754"
"AST030814","HIGH","0.5753"
"AST006449","HIGH","0.5753"
"AST036924","HIGH","0.5753"
"AST008297","HIGH","0.5753"
"AST039781","HIGH","0.5753"
"AST013188","HIGH","0.5753"
"AST039177","HIGH","0.5753"
"AST038277","HIGH","0.5753"
"AST040346","HIGH","0.5753"
"AST039462","HIGH","0.5753"
"AST009814","HIGH","0.5753"
"AST006823","HIGH","0.5753"
"AST005894","HIGH","0.5752"
"AST013079","HIGH","0.5752"
"AST033589","HIGH","0.5752"
"AST013453","HIGH","0.5752"
"AST016810","HIGH","0.5752"
"AST035617","HIGH","0.5752"
"AST038130","HIGH","0.5752"
"AST030474","HIGH","0.5752"
"AST030902","HIGH","0.5752"
"AST009195","HIGH","0.5752"
"AST029776","HIGH","0.5752"
"AST016255","HIGH","0.5752"
"AST028205","HIGH","0.5752"
"AST010775","HIGH","0.5752"
"AST020365","HIGH","0.5752"
"AST015040","HIGH","0.5751"
"AST037360","HIGH","0.5751"
"AST005546","HIGH","0.5751"
"AST022808","HIGH","0.5751"
"AST011446","HIGH","0.5751"
"AST020107","HIGH","0.5751"
"AST010463","HIGH","0.5751"
"AST014848","HIGH","0.575"
"AST040805","HIGH","0.575"
"AST031921","HIGH","0.575"
"AST000842","HIGH","0.575"
"AST016607","HIGH","0.575"
"AST032682","HIGH","0.575"
"AST032158","HIGH","0.575"
"AST030201","HIGH","0.575"
"AST035969","HIGH","0.575"
"AST023866","HIGH","0.575"
"AST023623","HIGH","0.575"
"AST036643","HIGH","0.575"
"AST007219","HIGH","0.575"
"AST023026","HIGH","0.575"
"AST011846","HIGH","0.575"
"AST021932","HIGH","0.575"
"AST015393","HIGH","0.575"
"AST008652","HIGH","0.575"
"AST040582","HIGH","0.5749"
"AST022550","HIGH","0.5749"
"AST039847","HIGH","0.5749"
"AST040028","HIGH","0.5749"
"AST011649","HIGH","0.5749"
"AST037826","HIGH","0.5749"
"AST017202","HIGH","0.5749"
"AST013484","HIGH","0.5749"
"AST010868","HIGH","0.5749"
"AST034739","HIGH","0.5749"
"AST033837","HIGH","0.5749"
"AST002210","HIGH","0.5749"
"AST019800","HIGH","0.5749"
"AST022127","HIGH","0.5749"
"AST021469","HIGH","0.5749"
"AST040235","HIGH","0.5748"
"AST040839","HIGH","0.5748"
"AST025656","HIGH","0.5748"
"AST031186","HIGH","0.5748"
"AST037422","HIGH","0.5748"
"AST027640","HIGH","0.5748"
"AST005911","HIGH","0.5748"
"AST007679","HIGH","0.5748"
"AST017194","HIGH","0.5748"
"AST004687","HIGH","0.5748"
"AST027611","HIGH","0.5748"
"AST026794","HIGH","0.5748"
"AST026116","HIGH","0.5748"
"AST013104","HIGH","0.5748"
"AST033681","HIGH","0.5748"
"AST034347","HIGH","0.5748"
"AST038822","HIGH","0.5748"
"AST033324","HIGH","0.5748"
"AST020048","HIGH","0.5748"
"AST015322","HIGH","0.5748"
"AST021578","HIGH","0.5748"
"AST000804","HIGH","0.5747"
"AST026014","HIGH","0.5747"
"AST036363","HIGH","0.5747"
"AST039862","HIGH","0.5747"
"AST010570","HIGH","0.5747"
"AST019762","HIGH","0.5747"
"AST034406","HIGH","0.5747"
"AST000198","HIGH","0.5747"
"AST012956","HIGH","0.5747"
"AST040567","HIGH","0.5747"
"AST036822","HIGH","0.5746"
"AST023251","HIGH","0.5746"
"AST035458","HIGH","0.5746"
"AST035777","HIGH","0.5746"
"AST015694","HIGH","0.5746"
"AST037430","HIGH","0.5746"
"AST036647","HIGH","0.5746"
"AST040981","HIGH","0.5746"
"AST016173","HIGH","0.5746"
"AST037253","HIGH","0.5746"
"AST010679","HIGH","0.5746"
"AST028465","HIGH","0.5746"
"AST002171","HIGH","0.5745"
"AST030222","HIGH","0.5745"
"AST020768","HIGH","0.5745"
"AST015915","HIGH","0.5745"
"AST018882","HIGH","0.5745"
"AST034374","HIGH","0.5745"
"AST011067","HIGH","0.5745"
"AST016520","HIGH","0.5745"
"AST015882","HIGH","0.5745"
"AST023946","HIGH","0.5745"
"AST010052","HIGH","0.5745"
"AST017923","HIGH","0.5745"
"AST032804","HIGH","0.5745"
"AST020153","HIGH","0.5745"
"AST019290","HIGH","0.5744"
